knot_id,knot_energy,knot_stability,knot_complexity,crossing_number,personality_complexity,personality_variability,personality_exploration,temperature,entropy,free_energy
user_1,0.13086261916591788,0.8842807101870276,0.17810436527652979,3,0.17810436527652979,0.03172116493055555,0.7566249999999999,0.03172116493055555,0.005649677945788713,0.130683404799995
user_2,0.20764527282330392,0.828057727301115,0.27940878803883984,5,0.27940878803883984,0.07806927083333333,0.15962500000000002,0.07806927083333333,0.021813240346617614,0.20594232905493123
user_3,0.17684907824611795,0.849726628915171,0.2414151304101966,4,0.2414151304101966,0.05828126519097223,0.738375,0.05828126519097223,0.014069979236549813,0.17602906205500113
user_4,0.0775287470923145,0.9280494861027848,0.10254791182052417,2,0.10254791182052417,0.01051607421875,0.78,0.01051607421875,0.0010784014516824626,0.077517406542611
user_5,0.13854574072723086,0.8783134170448553,0.19090956787871813,3,0.19090956787871813,0.03644646310763888,0.76425,0.03644646310763888,0.006957978522586982,0.13829214701970366
user_6,0.12265617298856668,0.8907446679226376,0.16442695498094448,3,0.16442695498094448,0.027036223524305545,0.375625,0.027036223524305545,0.00444548390828574,0.12253598389194856
user_7,0.15904757721027188,0.862777352424923,0.21174596201711982,4,0.21174596201711982,0.04483635243055555,0.7092499999999999,0.04483635243055555,0.009493916578746613,0.1586219046206009
user_8,0.12509851630958782,0.8888110556576673,0.16849752718264638,3,0.16849752718264638,0.02839141666666666,0.45925,0.02839141666666666,0.004783883501545505,0.12496269507981066
user_9,0.17499588717861783,0.8510668087538457,0.23832647863102974,4,0.23832647863102974,0.05679951041666667,0.27137500000000003,0.05679951041666667,0.01353682730557066,0.17422700201506644
user_10,0.12308871262030807,0.8904016118787922,0.1651478543671801,3,0.1651478543671801,0.027273813802083328,0.70475,0.027273813802083328,0.004504211829824044,0.12296586558553631
user_11,0.1326807444709043,0.8828613048128738,0.18113457411817385,3,0.18113457411817385,0.03280973394097222,0.256,0.03280973394097222,0.005942977184328596,0.13248575697066922
user_12,0.11940676322331661,0.8933303182129376,0.15901127203886103,3,0.15901127203886103,0.025284584635416673,0.6600000000000001,0.025284584635416673,0.004020533965851846,0.11930510569197747
user_13,0.09099965833255509,0.916590571190796,0.12499943055425848,2,0.12499943055425848,0.01562485763888889,0.4781250000000001,0.01562485763888889,0.001953098307352467,0.09096914144954796
user_14,0.15253894793281547,0.8676496371715611,0.20089824655469246,4,0.20089824655469246,0.04036010546875,0.345375,0.04036010546875,0.008108274419434328,0.15221169712207752
user_15,0.21494087706636777,0.8230853195215799,0.2915681284439463,5,0.2915681284439463,0.08501197352430556,0.807125,0.08501197352430556,0.024786782015808088,0.21283370380988717
user_16,0.15395294366578444,0.8665864630695258,0.20325490610964075,4,0.20325490610964075,0.041312556857638884,0.6214999999999999,0.041312556857638884,0.008396979865248587,0.15360604295766891
user_17,0.16867966655651453,0.8556664658558449,0.22779944426085758,4,0.22779944426085758,0.05189258680555556,0.19825,0.05189258680555556,0.011821102435563866,0.16806623897223968
user_18,0.08928339255929682,0.9180347436037527,0.12213898759882803,2,0.12213898759882803,0.014917932291666667,0.34187500000000004,0.014917932291666667,0.0018220611471720313,0.08925621117447204
user_19,0.1197511586091782,0.8930555617750654,0.15958526434863035,3,0.15958526434863035,0.025467456597222226,0.424875,0.025467456597222226,0.004064230793354979,0.11964765298784734
user_20,0.08547319064754402,0.9212572071019509,0.11578865107924005,2,0.11578865107924005,0.013407011718749999,0.638375,0.013407011718749999,0.001552379801917626,0.08545237787334777
user_21,0.2288396855643141,0.8137758014714302,0.3013994759405235,6,0.3013994759405235,0.09084164409722223,0.211125,0.09084164409722223,0.027379623924478333,0.22635247551225085
user_22,0.0924731192560497,0.9153543298904948,0.12745519876008285,2,0.12745519876008285,0.016244827690972224,0.147875,0.016244827690972224,0.0020704877421761623,0.09243948453944179
user_23,0.12818516569070665,0.8863793200008723,0.17364194281784442,3,0.17364194281784442,0.030151524305555556,0.7060000000000001,0.030151524305555556,0.0052355692593361244,0.12802730529693035
user_24,0.11450420138728368,0.8972599643458014,0.1508403356454728,3,0.1508403356454728,0.022752806857638894,0.13974999999999999,0.022752806857638894,0.0034320410232828663,0.11442611282075343
